time_s,x_m,y_m,yaw_rad,icp_rmse_m,pairs,iterations,accepted
0.064,0.0,0.0,0.0,0.0,180,0,1
0.256,4.2051094168760884e-05,-0.0002099399886762738,8.317933055459841e-07,0.00584937953919126,153,2,1
0.448,0.00010236746512763269,-0.00024458522234849505,-1.0987795765477593e-06,0.003029742473359851,153,2,1
0.64,-0.00020561067126327975,-7.795782992835136e-05,9.883873330989282e-07,0.0028003907428023863,153,2,1
0.8320000000000001,-9.998147237654741e-05,-0.00012078051484795532,-2.9189453312916465e-06,0.0021467029159429685,153,2,1
1.024,-7.630956854671041e-05,-5.541225169183839e-05,7.490862635381735e-07,0.0017301668381452843,153,2,1
1.216,-0.0002495529808525254,-0.00010477808302479557,-1.6007951877500138e-07,0.0012548435253444056,153,2,1
1.408,-0.000255074582771456,-5.300259643602647e-05,2.4024262544049306e-07,0.0010155918214577546,153,2,1
1.6,-0.00019691035790930458,-2.4948730409720383e-05,-1.5822392756122012e-06,0.0011388246020202944,153,2,1
1.792,-0.00012746009399113088,-3.013531197833635e-05,-1.4093756810938512e-06,0.0011581223884892414,153,2,1
1.984,-0.00012576482594648918,-2.0174785863961688e-05,-6.412416067292703e-07,0.0008864454692613384,153,2,1
2.176,-0.00020635531066086983,-2.912205735551667e-05,-1.7186828235754657e-06,0.0006223782140251296,153,2,1
2.368,-0.00021115734770937817,-1.5284903597698213e-05,-2.1643463499152048e-06,0.0013026109013314056,153,2,1
2.56,-0.00019217500981743473,0.00013835155794598462,-2.9102693724110466e-06,0.0013027219472731735,153,2,1
2.7520000000000002,-0.00015149443738019555,-2.947116310761603e-05,-2.0250655396675686e-06,0.0013962134876920912,153,2,1
2.944,-0.00017469300756429692,2.014674988094156e-05,-3.839348960626606e-06,0.0009325743253527623,153,2,1
3.136,-0.00011939184470265908,1.5287532275240774e-05,-1.1996208144536743e-06,0.001149797809945454,153,2,1
3.3280000000000003,-4.1796311701657335e-05,5.375439699198596e-06,-1.6779702398764108e-06,0.0010763305485196877,153,2,1
3.52,-4.9694403989877625e-05,-3.479901484916055e-05,-7.845168109646996e-07,0.0010365630873697196,153,2,1
3.712,-0.0001186022292803419,-6.550396525488198e-05,-3.2258921414123226e-06,0.0016086226320632193,153,2,1
3.904,-0.00023638545953929652,6.763039528456218e-05,-3.2847054492116513e-06,0.0010537938365161805,153,2,1
4.096,-0.00022492948011497405,0.00010423049801632918,-2.624001238368535e-06,0.0010047220603583583,153,2,1
