time_s,x_m,y_m,yaw_rad,neff,particles,linear_command,angular_command
0.064,-0.05163189163641831,-0.01324416644432851,0.1049086330503477,5.458780763714183,800,0.0,0.0
0.256,-0.04741907050591258,-0.10676175570335947,-0.12867936831428883,460.5860616590609,800,0.0,0.0
0.448,-0.054025114415262455,-0.15488527509606917,-0.22534510226540005,183.1241733053433,800,0.0,0.0
0.64,-0.054346942974170594,-0.16190946340328066,-0.2545370939130125,485.3978782143057,800,0.0,0.0
0.8320000000000001,-0.04738525908479799,-0.14517909685041802,-0.23857596405266923,135.9361999611521,800,0.0,0.0
1.024,-0.03169107446910857,-0.10123911759230321,-0.18171030239689,369.6104497291455,800,0.0,0.0
1.216,-0.011927107532213028,-0.04561802168963624,-0.11087911078883206,63.87409533299177,800,0.0,0.0
1.408,0.0008882664685947365,-0.006064687346429694,-0.0887457608184925,407.29360748848967,800,0.0,0.0
1.6,0.004561409450369606,0.011567206987378694,-0.09869091228594717,155.61814291959382,800,0.0,0.0
1.792,0.005766057117343237,0.020323693281055127,-0.12228898340622685,598.3825729888335,800,0.0,0.0
1.984,0.006167292950728244,0.026371967442206812,-0.13851088360381913,404.91777673122647,800,0.0,0.0
2.176,0.006657697773483897,0.031006770320960532,-0.15020411808881784,281.5527221863507,800,0.0,0.0
2.368,0.007216525594053144,0.034897995784915294,-0.15912116930746745,202.55569630782577,800,0.0,0.0
2.56,0.007633029986709476,0.03943781258345578,-0.16875979648432926,721.5055790617273,800,0.0,0.0
2.7520000000000002,0.00857835117400991,0.043125013089207666,-0.17715320804817747,624.0844451044793,800,0.0,0.0
2.944,0.00943165638383011,0.04625848878338275,-0.18311352368494838,534.0318371208192,800,0.0,0.0
3.136,0.010182318425613554,0.04902278507090853,-0.1880685665366828,453.9466501742442,800,0.0,0.0
3.3280000000000003,0.010872380579370691,0.05140954995934339,-0.1919890925557297,387.19852785899394,800,0.0,0.0
3.52,0.011518617451968534,0.053596503671227064,-0.19502411634984718,331.20882174596636,800,0.0,0.0
3.712,0.012100290958875173,0.05556824711794585,-0.1978690648105892,283.5761760153825,800,0.0,0.0
3.904,0.012672750126019375,0.057384213115925266,-0.20003760894774025,244.09313000596072,800,0.0,0.0
4.096,0.013978986969900607,0.059431357337238006,-0.20509554277144426,763.860056844383,800,0.0,0.0
4.288,0.014488577291472559,0.061676211242813,-0.2081175596775129,721.1623583137499,800,0.0,0.0
4.48,0.014959242797356324,0.06371759225281866,-0.21065476410932282,669.4364272163365,800,0.0,0.0
4.672,0.015399500029689034,0.06564920288174993,-0.21286422441405817,614.2947410690889,800,0.0,0.0
4.864,0.015751640402040974,0.06742025889740696,-0.214721953550991,561.1035624488197,800,0.0,0.0
5.056,0.016078477769352367,0.06913264091250496,-0.21583092494415812,510.30949155827705,800,0.0,0.0
5.248,0.01636296691073342,0.0706743861088295,-0.21683836260659595,464.8619701508869,800,0.0,0.0
5.44,0.01663803004961337,0.07217284083630816,-0.21785359390374914,420.8485697444487,800,0.0,0.0
5.632,0.016888613366607703,0.07354064020813711,-0.21896995291498156,382.00881032706576,800,0.0,0.0
5.824,0.0171282265835802,0.0748265662850373,-0.2199925880164879,346.63823259740667,800,0.0,0.0
6.016,0.017369464970946973,0.07608596049415728,-0.22065678475092376,314.03599721562,800,0.0,0.0
6.208,0.01756876603030945,0.07732593115170995,-0.22141399020830077,284.0774232315729,800,0.0,0.0
6.4,0.017741429778193735,0.07846861620980669,-0.22208866541092576,258.14331489404833,800,0.0,0.0
6.5920000000000005,0.017737156259983247,0.08050524910751312,-0.22432028105954194,774.5247696786066,800,0.0,0.0
6.784,0.01805315878182497,0.08195169437629123,-0.22470307038358905,753.1347146166926,800,0.0,0.0
6.976,0.018355832511893207,0.08336413213356571,-0.2251806580056943,723.7560369786057,800,0.0,0.0
7.168,0.018565323760443647,0.08463308193718799,-0.2256798855335287,692.0039713641905,800,0.0,0.0
7.36,0.018792940921507306,0.08585441692409587,-0.22604170596212825,657.1840717599403,800,0.0,0.0
7.5520000000000005,0.0189960841088847,0.08705458897206413,-0.2261259561197284,620.5043470734306,800,0.0,0.0
7.744,0.019143344111061816,0.08815433600094642,-0.22653247931644271,585.4645466578946,800,0.0,0.0
7.936,0.019279884994474864,0.08917974628597988,-0.22677835231054733,551.8938816766646,800,0.0,0.0
8.128,0.01939448001865186,0.09018092070514115,-0.22700391647801688,519.0828517087659,800,0.0,0.0
8.32,0.019545301444728703,0.09113476369994436,-0.22718237357036664,487.7984971958899,800,0.0,0.0
8.512,0.01960542453967182,0.09206055713641388,-0.22745988126437178,457.7766533113961,800,0.0,0.0
8.704,0.01976660436917812,0.09292111726990541,-0.2274610131199437,429.92829997678393,800,0.0,0.0
8.896,0.019843993080013757,0.09374343220300115,-0.22754055698707454,403.4037628471542,800,0.0,0.0
9.088000000000001,0.019976744268095602,0.09452487149424073,-0.22744115563465694,378.46761532429184,800,0.0,0.0
9.28,0.0201335018635001,0.09527271457114778,-0.2273850238178068,355.55253668804266,800,0.0,0.0
9.472,0.020232270983918246,0.0959878210463112,-0.22733202026654542,334.21074759617375,800,0.0,0.0
